200 200
-459 -33 -166
0 -331 224
-22 -142 462
-36 205 -355
-219 327 461
-9 495 442
327 -64 -109
104 402 -347
-208 -118 -79
216 218 395
-53 226 271
38 369 412
167 -201 -465
394 203 311
-178 -167 173
164 -359 211
-247 368 47
144 162 257
-463 359 223
241 29 278
-184 -465 -310
342 -212 -394
-460 442 -236
148 -54 305
390 229 -130
-150 -494 -399
-107 48 129
123 -416 454
256 340 466
-124 431 -192
444 -61 126
-177 37 38
-382 -418 429
41 333 -385
139 158 204
430 477 -194
173 -114 -479
245 424 -428
-230 329 277
73 -403 12
486 -210 -339
136 -145 267
155 74 -469
-448 -150 -350
441 224 466
-70 -393 -309
-493 -163 -43
-213 253 -117
445 409 -291
258 -279 88
-78 446 6
-470 -87 -332
400 91 262
155 -90 -141
124 37 48
-17 95 -459
102 -150 -209
336 -126 -480
96 -479 -152
-301 168 -16
-219 234 -447
499 -82 438
400 288 -373
-33 228 393
148 -17 307
-79 -190 117
313 14 -191
116 435 -49
100 -251 19
56 298 -197
-276 -492 344
109 489 202
-305 -15 -407
-157 23 87
-186 3 -52
-300 -42 118
80 296 298
-219 89 298
-491 -343 -28
122 38 -208
-462 -321 -310
157 458 -309
315 388 -344
11 -298 134
-228 -445 -172
146 -138 386
375 -67 369
-358 344 -84
381 498 -178
151 -479 199
57 -24 392
-111 -425 212
100 10 -497
369 361 188
-99 289 -245
-77 -498 85
-318 -215 -412
-74 117 257
332 432 -331
-346 221 -311
476 -171 -132
192 -75 55
-66 49 -59
12 -355 -440
218 253 -361
-77 -221 496
187 29 49
-63 366 449
-307 -305 -203
-84 -214 -395
-12 -218 -45
234 -386 201
-184 171 286
-237 -187 -145
-315 -447 412
308 332 445
-187 256 -179
58 146 482
-19 -356 -304
-278 -371 -339
35 -50 -327
-34 -456 159
-208 -61 -247
-476 -346 10
245 149 -314
-187 -26 -478
-332 -482 287
405 458 -109
-298 125 -23
-86 -186 324
-166 374 -128
-341 333 -430
-13 -203 18
-323 273 -230
263 168 -308
485 -398 -20
-287 127 302
-401 27 125
43 424 -477
472 -439 -319
-497 -68 5
93 225 -469
-8 -358 -278
-214 -436 400
-313 -140 -87
474 -230 -330
-265 333 211
260 396 167
-215 50 -360
194 195 124
-481 -375 76
194 158 -198
-129 -34 178
93 351 -16
-482 -36 -381
-348 300 -413
-440 426 -490
257 -330 -185
76 -273 -457
258 -336 -391
382 -414 65
-13 77 -26
125 127 129
428 -77 20
402 462 -377
96 237 -239
-305 25 -236
-240 -298 -384
